ORD,NOMBRE COMPLETO DE LA UNIDAD,Unidad,Unidad Padre,Unidad Abuelo,PROVINCIA,CANTÓN/CIUDAD,PARROQUIA,DIRECCION,REGIONES
228,ESCUELA DE SERVICIOS Y ESPECIALISTAS DE LA FUERZA TERRESTRE,E.S.E.F.T,C.E.D.F.T,C.G.F.T,PICHINCHA,QUITO ,ATAHUALPA,PICHINCHA  / QUITO  / ATAHUALPA,SIERRA
229,ESCUELA DE INTELIGENCIA MILITAR,ES.I.M,C.E.D.F.T,C.G.F.T,PICHINCHA,QUITO ,CONOCOTO,PICHINCHA  / QUITO  / CONOCOTO,SIERRA
230,COMANDO DUCTOS Y REFINERÍA,C.D.R C.E.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
231,DIRECCIÓN DE SANIDAD (COMACO),SND.CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
232,"ESCUELA DE FUERZAS ESPECIALES NO. 9 ""CAPT. ALEJANDRO ROMO ES",ES.F.E,C.E.D.F.T,C.G.F.T,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
233,"ESCUELA DE COMUNICACIONES DE LA F.T. ""EDUARDO CORNEJO""",ES.COM,C.E.D.F.T,C.G.F.T,PICHINCHA,QUITO ,EL INCA,PICHINCHA  / QUITO  / EL INCA,SIERRA
234,DIRECCIÓN DE SEGURIDAD INTEGRADA,D.S.I,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
235,COMPAÑIA LOGÍSTICA DEL G.C.B 33,CIA. LOG/33,NO ENCONTRADO,NO ENCONTRADO,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
236,ESCUELA DE EQUITACIÓN DE LA FUERZA TERRESTRE,ES.EQ (-),NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SANGOLQUI,PICHINCHA  / RUMINAHUI  / SANGOLQUI,SIERRA
237,GRUPO DE OPERACIONES DE INTELIGENCIA MILITAR,G.O.I.M,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,CONOCOTO,PICHINCHA  / QUITO  / CONOCOTO,SIERRA
238,BANDA DE MUSICOS CEE,BMUS.CEE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
239,CENTRO MEDICO,C.MED.AGE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,SAN RAFAEL,PICHINCHA  / RUMINAHUI  / SAN RAFAEL,SIERRA
240,DISPENSARIO MEDICO NRO. 17,DISP.17,17 B.S,IV.D.E,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
241,DESTACAMENTO DE INTELIGENCIA ZAMORA,D.I.ZA,G.I.M 86,29 B.I.M,ZAMORA CHINCHIPE,ZAMORA ,ZAMORA,ZAMORA CHINCHIPE  / ZAMORA  / ZAMORA,ORIENTE
242,DESTACAMENTO DE INTELIGENCIA GUALAQUIZA,D.I.GUA,G.I.M 86,29 B.I.M,ZAMORA CHINCHIPE,ZAMORA ,ZAMORA,ZAMORA CHINCHIPE  / ZAMORA  / ZAMORA,ORIENTE
243,COMANDO Y ESTADO MAYOR NRO. 29,C.E.M 29,29 B.I.M,CC.FF.AA,PICHINCHA,QUITO ,CONOCOTO,PICHINCHA  / QUITO  / CONOCOTO,SIERRA
244,DESTACAMENTO DE INTELIGENCIA PUTUMAYO,D.I.PU,G.I.M 87,29 B.I.M,SUCUMBIOS,PUTUMAYO ,PTO DEL CARMEN PUTUM,SUCUMBIOS  / PUTUMAYO  / PTO DEL CARMEN PUTUM,ORIENTE
245,DESTACAMENTO DE INTELIGENCIA IMBABURA,D.I.I,G.I.M 87,29 B.I.M,IMBABURA,IBARRA ,IBARRA,IMBABURA  / IBARRA  / IBARRA,SIERRA
246,DEPARTAMENTO DE PERSONAL,B.1/FTC1,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
247,JEFATURA DEL COMANDO CONJUNTO,J.CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
248,CENTRO DE ENTRENAMIENTO-ESCUELA DE A. AA CONJUNTA,CE.ESC A.A.C,DISP.E.1,D.G.T.H,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
249,COMPAÑIA DE COMUNICACIONES DE LA IV.D.E,C.C IV.D.E,IV.D.E,C.O.T,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
250,COMPAÑIA DE APOYO AL DESARROLLO Y AMBIENTE NRO. 17,C.A.D.Y.A 17 (-),NO ENCONTRADO,NO ENCONTRADO,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
251,COMANDO DE APOYO LOGÍSTICO NRO. 17,C.A.L 17,17 B.S,IV.D.E,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
252,DESTACAMENTO DE INTELIGENCIA COTOPAXI,D.I.COT,G.I.M 84,29 B.I.M,COTOPAXI,LATACUNGA ,LATACUNGA,COTOPAXI  / LATACUNGA  / LATACUNGA,SIERRA
253,DESTACAMENTO DE INTELIGENCIA CHIMBORAZO,D.I.CH,G.I.M 84,29 B.I.M,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
254,DESTACAMENTO DE INTELIGENCIA CUERPO DE INGENIEROS,D.I.C.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
255,DESTACAMENTO DE INTELIGENCIA SANTO DOMINGO,D.I.SD,G.I.M 84,29 B.I.M,STO. DOMINGO DE LOS TSÁCHILAS,STO. DOMINGO DE LOS COLORADOS ,STO. DOMINGO DE LOS CO,STO. DOMINGO DE LOS TSÁCHILAS  / STO. DOMINGO DE LOS COLORADOS  / STO. DOMINGO DE LOS CO,COSTA
256,"GRUPO DE INTELIGENCIA MILITAR NRO. 85 ""GUAYAS""",G.I.M 85,29 B.I.M,CC.FF.AA,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
257,DESTACAMENTO DE INTELIGENCIA LOS RÍOS,D.I.LR,G.I.M 84,29 B.I.M,LOS RÍOS,QUEVEDO ,QUEVEDO,LOS RÁOS  / QUEVEDO  / QUEVEDO,COSTA
258,DESTACAMENTO DE INTELIGENCIA ESMERALDAS,D.I.E,G.I.M 87,29 B.I.M,ESMERALDAS,ESMERALDAS ,ESMERALDAS,ESMERALDAS  / ESMERALDAS  / ESMERALDAS,COSTA
259,DESTACAMENTO DE INTELIGENCIA GUAYAS,D.I.G,G.I.M 85,29 B.I.M,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
260,"GRUPO DE INTELIGENCIA MILITAR NRO. 86 ""AZUAY""",G.I.M 86,29 B.I.M,CC.FF.AA,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
261,ESCUELA DE IWIAS DE LA FUERZA TERRESTRE,ES.IW,C.E.D.F.T,C.G.F.T,PASTAZA,PASTAZA ,PUYO,PASTAZA  / PASTAZA  / PUYO,ORIENTE
262,"GRUPO ESPECIAL DE OPERACIONES NRO. 9 ""ECUADOR""",G.E.O 9,9 B.F.E,I.D.E,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
263,COMPAÑIA LOGÍSTICA DEL G.E.O 9,CIA. LOG/9 (G.E.O 9),NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
264,COMPAÑIA DE COMUNICACIONES DE LA I.D.E,C.C I.D.E,I.D.E,C.O.T,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
265,DIRECCIÓN DE DOCTRINA DE LA F.T.,D.D.F.T,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
266,COMANDO DE OPERACIONES TERRESTRE,C.O.T,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
267,COMANDO Y ESTADO MAYOR DEL COT.,C.E.M COT,C.O.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
268,DESTACAMENTO DE INTELIGENCIA EL ORO,D.I.O,G.I.M 86,29 B.I.M,EL ORO,MACHALA ,MACHALA,EL ORO  / MACHALA  / MACHALA,COSTA
269,DESTACAMENTO DE INTELIGENCIA LOJA,D.I.L,G.I.M 86,29 B.I.M,LOJA,LOJA ,LOJA,LOJA  / LOJA  / LOJA,SIERRA
270,"GRUPO DE INTELIGENCIA MILITAR NRO. 87 ""AMAZONAS""",G.I.M 87,29 B.I.M,CC.FF.AA,IMBABURA,IBARRA ,CARANQUI,IMBABURA  / IBARRA  / CARANQUI,SIERRA
271,DESTACAMENTO DE INTELIGENCIA PASTAZA,D.I.PA,G.I.M 87,29 B.I.M,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
272,AGENCIA DE INTELIGENCIA TENA,AITE,NO ENCONTRADO,NO ENCONTRADO,NAPO,TENA ,TENA,NAPO  / TENA  / TENA,ORIENTE
273,DESTACAMENTO DE INTELIGENCIA FCO. DE ORELLANA,D.I.FOR,G.I.M 87,29 B.I.M,NAPO,TENA ,TENA,NAPO  / TENA  / TENA,ORIENTE
274,DESTACAMENTO DE INTELIGENCIA PICHINCHA,D.I.P,G.I.M 84,29 B.I.M,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
275,DESTACAMENTO DE INTELIGENCIA TUNGURAHUA,D.I.TU,G.I.M 84,29 B.I.M,TUNGURAHUA,AMBATO ,AMBATO,TUNGURAHUA  / AMBATO  / AMBATO,SIERRA
276,"GRUPO DE AVIACIÓN DEL EJÉRCITO NRO. 45 ""PICHINCHA""",G.A.E 45,15 B.A.E,C.G.F.T,PICHINCHA,QUITO ,CHAUPICRUZ,PICHINCHA  / QUITO  / CHAUPICRUZ,SIERRA
277,"BATALLÓN DE INFANTERÍA MOTORIZADA NRO. 13 ""ESMERALDAS""",B.I.MOT 13,31 B.I,IV.D.E,ESMERALDAS,ESMERALDAS ,ESMERALDAS,ESMERALDAS  / ESMERALDAS  / ESMERALDAS,COSTA
278,"BASE 542 ""GUACHANAMA""","BASE 542 ""GUACH",G.I.T,COIM.C,LOJA,LOJA ,LOJA,LOJA  / LOJA  / LOJA,SIERRA
279,"BASE 543 ""MULLOPUNGO""","BASE 543 ""MULLO",G.I.T,COIM.C,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
280,"BASE 544 ""TULCÍN""","BASE 544 ""TULCA",G.I.T,COIM.C,CARCHI,TULCAN ,TULCAN,CARCHI  / TULCAN  / TULCAN,SIERRA
281,"BASE 541 ""LATACUNGA""","BASE 541 ""LATAC",G.I.T,COIM.C,COTOPAXI,LATACUNGA ,LATACUNGA,COTOPAXI  / LATACUNGA  / LATACUNGA,SIERRA
282,"BASE 545 ""PLAYAS""","BASE 545 ""PLAYA",G.I.T,COIM.C,GUAYAS,PLAYAS ,GENERAL VILLAMIL (PLAYAS),GUAYAS  / PLAYAS  / GENERAL VILLAMIL (PLAYAS),COSTA
283,"BGE.19 ""GALÍPAGOS"" HF BASE FIJA",BGE-19,NO ENCONTRADO,NO ENCONTRADO,GALÁPAGOS,PUERTO BAQUERIZO MORENO,,GALÁPAGOS  /  / PUERTO BAQUERIZO MORENO,INSULAR
284,"GRUPO DE CABALLERÍA BLINDADO NRO. 33 ""TAPI""",G.C.B 33,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
285,ESCUELA DE CABALLERÍA BLINDADA,ES.CA.BLIN,C.E.D.F.T,C.G.F.T,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
286,"ESCUELA DE AVIACIÓN DEL EJÉRCITO ""CAPT. FERNANDO VÍSCONEZ""",ES.A.E,C.E.D.F.T,C.G.F.T,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
287,COMANDO Y ESTADO MAYOR DE LA 19-BS,C.E.M 19,19 B.S,IV.D.E,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
288,COMANDO Y ESTADO MAYOR DE LA 21-BS,C.E.M 21,21 B.S,III.D.E,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
289,COMPAÑIA LOGÍSTICA DEL B.I 13,CIA. LOG/13,NO ENCONTRADO,NO ENCONTRADO,ESMERALDAS,ESMERALDAS ,ESMERALDAS,ESMERALDAS  / ESMERALDAS  / ESMERALDAS,COSTA
290,DIRECCIÓN DE INTELIGENCIA MILITAR TERRESTRE,D.I.M.T,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
291,COMANDO Y ESTADO MAYOR DEL CEE,C.E.M C.E.E,C.E.E,C.O.T,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
292,COMPAÑIA DE COMUNICACIONES DE LA III.D.E,C.C III.D.E,III.D.E,C.O.T,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
293,"PRIMERA DIVISIÓN DE EJÉRCITO ""SHIRYS""",I.D.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
294,COMPAÑIA DE COMUNICACIONES NRO. 21,C.C 21,21 B.S,III.D.E,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
295,COMPAÑIA LOGÍSTICA DEL B.E 68,CIA.LOG/68,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
296,COMANDO Y ESTADO MAYOR DE LA 7-BI,C.E.M 7,7 B.I,III.D.E,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
297,"BATALLÓN DE SELVA NRO. 62 ""ZAMORA""",B.S 62,21 B.S,III.D.E,ZAMORA CHINCHIPE,ZAMORA ,ZAMORA,ZAMORA CHINCHIPE  / ZAMORA  / ZAMORA,ORIENTE
298,COMPAÑIA LOGÍSTICA DEL G.E.K 9,CIA. LOG/9 (G.E.K 9),NO ENCONTRADO,NO ENCONTRADO,COTOPAXI,LATACUNGA ,GUAYTACAMA,COTOPAXI  / LATACUNGA  / GUAYTACAMA,SIERRA
299,DIRECCIÓN DE BIENESTAR DE PERSONAL,D.B.P,D.G.T.H,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
300,"BGE-18 "" NUEVO ROCAFUERTE"" BASE FIJA",BGE-18,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,AGUARICO ,NUEVO ROCAFUERTE,ORELLANA  / AGUARICO  / NUEVO ROCAFUERTE,ORIENTE
301,GRUPO DE FUERZAS ESPECIALES NRO. 26,G.F.E 26,9 B.F.E,I.D.E,LOS RÍOS,QUEVEDO ,SAN CAMILO,LOS RÁOS  / QUEVEDO  / SAN CAMILO,COSTA
302,BATERÃA DE ARTILLERÃA ANTI-AÉREA OSA-AKM,B.A.AA.OSA.AKM,E.1 (D.A.P),D.G.T.H,GUAYAS,NARANJAL ,TAURA,GUAYAS  / NARANJAL  / TAURA,COSTA
303,CLUB DE VOLUNTARIOS DE LA F.T.,C.V.F.T,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
304,POLICLÍNICO NRO. 15,POL. 15,15 B.A.E,C.G.F.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
305,ESCUELA DE OPERACIONES DE PAZ,ESC.OPAZ,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
306,CENTRO DE MANTENIMIENTO DE CABALLERÍA BLINDADA,CEMABLIN,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
307,ESCUELA DE SELVA Y CONTRA INSURGENCIA DE LA FUERZA TERRESTRE,E.S.C.I,C.E.D.F.T,C.G.F.T,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
308,GRUPO ESPECIAL DE COMANDOS NRO. 9,G.E.K 9,9 B.F.E,I.D.E,COTOPAXI,LATACUNGA ,LATACUNGA,COTOPAXI  / LATACUNGA  / LATACUNGA,SIERRA
309,COMPAÑIA POLICÍA MILITAR NRO. 5,C.P.M 5 (-),NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
310,CENTRO DE REHABILITACIÓN DE LAS FF.AA.,C.R.FF.AA,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
311,"ESCUELA DE INGENIEROS DE COMBATE ""GRAE. RODRÍGUEZ LARA""",ES.ING,C.E.D.F.T,C.G.F.T,STO. DOMINGO DE LOS TSÁCHILAS,STO. DOMINGO DE LOS COLORADOS ,STO. DOMINGO DE LOS CO,STO. DOMINGO DE LOS TSÁCHILAS  / STO. DOMINGO DE LOS COLORADOS  / STO. DOMINGO DE LOS CO,COSTA
312,"CENTRO DE MANTENIMIENTO, ABASTECIMIENTO Y TRANSPORTES DEL CEE",C.M.A C.E.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
313,COMANDO Y ESTADO MAYOR DE LA 17-BS,C.E.M 17,17 B.S,IV.D.E,PASTAZA,MERA ,SHELL,PASTAZA  / MERA  / SHELL,ORIENTE
314,"BATALLÓN DE SELVA NRO. 50 ""MORONA""",B.S 50,17 B.S,IV.D.E,MORONA SANTIAGO,TAISHA ,TAISHA,MORONA SANTIAGO  / TAISHA  / TAISHA,ORIENTE
315,PELOTÓN SERVICIOS IV.D.E,PEL.SRV IV.D.E,NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
316,DIRECCIÓN DE TECNOLOGÃAS DE LA INFORMACIÓN Y COMUNICACIONES,D.T.I.C,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
317,COMPAÑIA PUENTES DEL CEE,C.P C.E.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
318,DESTACAMENTO DE INTELIGENCIA SUCUMBÍOS,D.I.SU,G.I.M 87,29 B.I.M,SUCUMBIOS,LAGO AGRIO ,NUEVA LOJA,SUCUMBIOS  / LAGO AGRIO  / NUEVA LOJA,ORIENTE
319,DESTACAMENTO DE INTELIGENCIA SHUSHUFINDI,D.I.SHU,G.I.M 87,29 B.I.M,SUCUMBIOS,SHUSHUFINDI ,SHUSHUFINDI CENTRAL,SUCUMBIOS  / SHUSHUFINDI  / SHUSHUFINDI CENTRAL,ORIENTE
320,DESTACAMENTO DE INTELIGENCIA SANTA CECILIA,D.I.SC,G.I.M 87,29 B.I.M,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
321,DESTACAMENTO DE INTELIGENCIA CÓNDOR,D.I.CO,G.I.M 86,29 B.I.M,MORONA SANTIAGO,SANTIAGO ,PATUCA,MORONA SANTIAGO  / SANTIAGO  / PATUCA,ORIENTE
322,COMPAÑIA LOGÍSTICA DEL G.F.E 26,CIA. LOG/26,NO ENCONTRADO,NO ENCONTRADO,LOS RÍOS,QUEVEDO ,SAN CAMILO,LOS RÁOS  / QUEVEDO  / SAN CAMILO,COSTA
323,COMPAÑIA POLICÍA MILITAR NRO. 13,C.P.M 13,13 B.I,I.D.E,PICHINCHA,MEJIA ,MACHACHI,PICHINCHA  / MEJIA  / MACHACHI,SIERRA
324,FEDERACIÓN DEPORTIVA MILITAR,FE.DE.M.E,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
325,DIRECCIÓN DE DESARROLLO INSTITUCIONAL COMACO,D.D.I CC.FF.AA,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
326,INTERESES NACIONALES (COMACO),IN.NACC.CC.FF.AA,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
327,DIRECCIÓN DE ADMINISTRACIÓN DE PERSONAL,E.1 (D.A.P),D.G.T.H,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
328,VILLA HOGAR LA ESPERANZA,V.H.E,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
329,SEDE DE OFICIALES EN SERVICIO PASIVO,SOSP,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
330,COMPAÑIA DE COMUNICACIONES DEL COLOG,C.C COLOG,25 COLOG,C.L.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
331,DIRECCIÓN DE TELEMÃTICA Y GUERRA ELECTRÓNICA,G.5,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
332,POLICLÍNICO NRO. 27,POL. 27,27 B.A,III.D.E,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
333,COMANDO DE MANTENIMIENTO NO. 25,C.MTTO 25,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
334,"DISPENSARIO MÉDICO TIPO ""B"" NRO. 5",D.M.B 5,5 B.I,II.D.E,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
335,CENTRO DE MANTENIMIENTO AÉREO,CEMAE,15 B.A.E,C.G.F.T,PICHINCHA,RUMINAHUI ,COTOGCHOA,PICHINCHA  / RUMINAHUI  / COTOGCHOA,SIERRA
336,DIRECCIÓN DE OPERACIONES DEL CC.FF.AA.,G.3,CC.FF.AA,CC.FF.AA,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
337,DEPARTAMENTO DE OPERACIONES,B.3/FTC1,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
338,COMPANIA DE REEMPLAZOS NO. 25,C.R 25,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,LA MAGDALENA,PICHINCHA  / QUITO  / LA MAGDALENA,SIERRA
339,ESCUELA DE TELECOMUNICACIONES Y GUERRA ELECTRÓNICA,ESTELGE,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
340,COMPAÑIA POLICÍA MILITAR DEL COLOG,C.P.M COLOG,25 COLOG,C.L.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
341,POLICLÍNICO DEL COLOG,POL. COLOG,25 COLOG,C.L.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
342,"COMANDO LOGÍSTICO NRO. 25 ""REINO DE QUITO""",25 COLOG,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
343,"BATALLÓN DE ABASTECIMIENTOS ""PURUHA""",BAT.ABAS.COLOG,25 COLOG,C.L.T,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
344,CENTRO DE MANTENIMIENTO MATERIAL DE GUERRA,CEMMG,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
345,COMPAÑIA LOGÍSTICA DEL B.O.E.S 54,CIA. LOG/54,NO ENCONTRADO,NO ENCONTRADO,SUCUMBIOS,SHUSHUFINDI ,SHUSHUFINDI CENTRAL,SUCUMBIOS  / SHUSHUFINDI  / SHUSHUFINDI CENTRAL,ORIENTE
346,COMPAÑIA DE COMUNICACIONES NRO. 27,C.C 27,27 B.A,III.D.E,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
347,COMPAÑIA LOGÍSTICA DEL B.S 17,CIA. LOG/17,NO ENCONTRADO,NO ENCONTRADO,ZAMORA CHINCHIPE,CHINCHIPE ,ZUMBA,ZAMORA CHINCHIPE  / CHINCHIPE  / ZUMBA,ORIENTE
348,CENTRO DE MANTENIMIENTO DE INTENDENCIA,CEMINT,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
349,SUBSECRETARIA DE DESARROLLO,S.S.DESA,NO ENCONTRADO,NO ENCONTRADO,PICHINCHA,QUITO ,QUITO,PICHINCHA  / QUITO  / QUITO,SIERRA
