ORD,NOMBRE COMPLETO DE LA UNIDAD,Unidad,Unidad Padre,Unidad Abuelo,PROVINCIA,CANTÓN/CIUDAD,PARROQUIA,DIRECCION,REGIONES
140,HOSPITAL DE BRIGADA NRO. 11,H.B 11,11 B.C.B,I.D.E,CHIMBORAZO,RIOBAMBA ,RIOBAMBA,CHIMBORAZO  / RIOBAMBA  / RIOBAMBA,SIERRA
141,COMPAÑIA LOGÍSTICA DEL B.S 49,CIA. LOG/49,NO ENCONTRADO,NO ENCONTRADO,PASTAZA,PASTAZA ,MONTALVO,PASTAZA  / PASTAZA  / MONTALVO,ORIENTE
142,"BATALLÓN DE SELVA NRO. 49 ""CAPT. CHIRIBOGA""",B.S 49,17 B.S,IV.D.E,PASTAZA,PASTAZA ,MONTALVO,PASTAZA  / PASTAZA  / MONTALVO,ORIENTE
143,COMANDO Y E.M. DEL AGR. DE COMUNICACIONES Y GE.,CDO.AGR.COM.GE,AGR.COM.GE,C.O.T,PICHINCHA,QUITO ,EL INCA,PICHINCHA  / QUITO  / EL INCA,SIERRA
144,COMPAÑIA LOGÍSTICA DEL G.C.M III D.E,CIA. LOG/G.C.M,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,MACHANGARA,AZUAY  / CUENCA  / MACHANGARA,SIERRA
145,"GRUPO DE ARTILLERÃA ANTI-AÉREA NRO. 5 ""MAYOR VALENCIA""",G.A.AA 5,NO ENCONTRADO,NO ENCONTRADO,GUAYAS,GUAYAQUIL ,GUAYAQUIL,GUAYAS  / GUAYAQUIL  / GUAYAQUIL,COSTA
146,COMPAÑIA DE COMUNICACIONES NRO. 19,C.C 19,19 B.S,IV.D.E,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
147,COMPAÑIA LOGÍSTICA DEL G.C.M 36,CIA. LOG/36,NO ENCONTRADO,NO ENCONTRADO,IMBABURA,IBARRA ,LA ESPERANZA,IMBABURA  / IBARRA  / LA ESPERANZA,SIERRA
148,BANDA DE MÚSICOS NRO. 7,B.MUS 7,NO ENCONTRADO,NO ENCONTRADO,LOJA,LOJA ,EL SAGRARIO,LOJA  / LOJA  / EL SAGRARIO,SIERRA
149,HOSPITAL DE BRIGADA NRO. 21,H.B 21,21 B.S,III.D.E,MORONA SANTIAGO,GUALAQUIZA ,GUALAQUIZA,MORONA SANTIAGO  / GUALAQUIZA  / GUALAQUIZA,ORIENTE
150,COMANDO DE APOYO LOGÍSTICO NRO. 13,C.A.L 13,13 B.I,I.D.E,PICHINCHA,QUITO ,VILLA FLORA,PICHINCHA  / QUITO  / VILLA FLORA,SIERRA
151,COMPAÑIA DE APOYO AL DESARROLLO Y AMBIENTE NRO. 19,C.A.D.Y.A 19 (-),NO ENCONTRADO,NO ENCONTRADO,ORELLANA,ORELLANA ,PTO FCO DE ORELLANA,ORELLANA  / ORELLANA  / PTO FCO DE ORELLANA,ORIENTE
152,COMANDO Y ESTADO MAYOR DE LA III.D.E,C.E.M III.D.E,III.D.E,C.O.T,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
153,"BRIGADA DE ARTILLERÍA NRO. 27 ""PORTETE""",27 B.A,NO ENCONTRADO,NO ENCONTRADO,AZUAY,CUENCA ,CUENCA,AZUAY  / CUENCA  / CUENCA,SIERRA
154,DIRECCIÓN DE PLANIFICACIÓN Y GESTIÓN ESTRATÉGICA,D.P.G.E,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
155,COMPAÑIA LOGÍSTICA DEL B.I 19,CIA. LOG/19,NO ENCONTRADO,NO ENCONTRADO,LOJA,CELICA ,CELICA,LOJA  / CELICA  / CELICA,SIERRA
156,INSPECTORÍA GENERAL,I.G,C.G.F.T,C.G.F.T,PICHINCHA,QUITO ,SAN SEBASTIAN,PICHINCHA  / QUITO  / SAN SEBASTIAN,SIERRA
157,COMPAÑIA POLICÍA MILITAR DE LA IV.D.E,C.P.M IV.D.E,IV.D.E,C.O.T,IMBABURA,ANTONIO ANTE ,ATUNTAQUI,IMBABURA  / ANTONIO ANTE  / ATUNTAQUI,SIERRA
